[3,3,-11,1],2,[3,67,311]
[2,4,4,3],4,[3,67,311]
[12,3,8,-7],4,[3,67,311]
[2,7,-4,-3],4,[3,67,311]
[1,15,-5,-23],1,[3,67,311]
[1,1,4,6],4,[3,67,311]
[1,15,-5,-23],2,[3,67,311]
[1,13,4,96],1,[3,67,311]
[3,3,-11,1],1,[3,67,311]
[4,2,4,3],1,[3,67,311]
[1,13,4,96],2,[3,67,311]
[6,15,28,47],2,[3,67,311]
[2,12,-16,-1],2,[3,67,311]
[6,1,13,4],1,[3,67,311]
[2,12,-16,-1],4,[3,67,311]
[4,8,9,6],1,[3,67,311]
[2,13,2,24],4,[3,67,311]
[1,1,6,10],4,[3,67,311]
[4,2,4,3],2,[3,67,311]
[1,5,-5,-3],2,[3,67,311]
[1,5,-5,-3],4,[3,67,311]
[1,1,4,6],2,[3,67,311]
[2,13,2,24],2,[3,67,311]
[1,1,3,7],2,[3,67,311]
[3,1,26,16],4,[3,67,311]
[1,1,3,7],1,[3,67,311]
[2,4,4,3],2,[3,67,311]
[12,20,37,23],1,[3,67,311]
[12,20,37,23],2,[3,67,311]
[6,15,28,47],1,[3,67,311]
[3,1,26,16],2,[3,67,311]
[4,8,9,6],2,[3,67,311]
[12,3,8,-7],2,[3,67,311]
