[17,39,37,29],40,[83,241]
[1,9,47,357],40,[83,241]
[1,13,3,161],40,[83,241]
[1,10,-55,-90],5,[83,241]
[4,5,6,2],1,[83,241]
[17,39,37,29],5,[83,241]
[8,21,34,52],40,[83,241]
[1,10,-55,-90],8,[83,241]
[1,9,47,357],5,[83,241]
[8,21,34,52],8,[83,241]
[17,39,37,29],8,[83,241]
[4,9,8,7],40,[83,241]
[1,10,-55,-90],1,[83,241]
[1,9,47,357],1,[83,241]
[1,10,-55,-90],40,[83,241]
[8,21,34,52],1,[83,241]
[4,5,6,2],8,[83,241]
[4,9,8,7],8,[83,241]
[1,13,3,161],1,[83,241]
[4,9,8,7],1,[83,241]
[1,11,7,19],1,[5,83,241]
[1,13,3,161],5,[83,241]
[4,9,8,7],5,[83,241]
[17,39,37,29],1,[83,241]
[1,13,3,161],8,[83,241]
[1,11,7,19],8,[5,83,241]
[1,9,47,357],8,[83,241]
[8,21,34,52],5,[83,241]
