[4,17,0,49],7,[5,13,157]
[2,4,5,19],8,[5,13,157]
[10,29,42,49],56,[5,13,157]
[4,5,28,7],1,[5,7,13,157]
[2,23,-10,34],8,[5,13,157]
[2,4,5,19],1,[5,13,157]
[10,29,42,49],1,[5,13,157]
[4,5,28,7],8,[5,7,13,157]
[2,23,-10,34],7,[5,13,157]
[2,23,-10,34],56,[5,13,157]
[4,17,0,49],8,[5,13,157]
[2,4,5,19],56,[5,13,157]
[10,29,42,49],7,[5,13,157]
[2,4,5,5],7,[5,13,157]
[2,4,5,19],7,[5,13,157]
[2,4,5,5],8,[5,13,157]
[2,4,5,5],56,[5,13,157]
[4,17,0,49],56,[5,13,157]
[1,3,20,46],8,[5,7,13,157]
[2,23,-10,34],1,[5,13,157]
[4,17,0,49],1,[5,13,157]
[2,4,5,5],1,[5,13,157]
[1,3,20,46],1,[5,7,13,157]
[10,29,42,49],8,[5,13,157]
