[5,16,19,20],1,[3,7,7937]
[7,0,-60,-6],1,[7,7937]
[2,12,30,117],1,[7,7937]
[20,6,21,-2],8,[7,7937]
[4,7,16,29],8,[7,7937]
[7,5,13,9],1,[3,7,7937]
[5,16,19,20],8,[3,7,7937]
[4,18,-63,-7],1,[7,7937]
[2,18,6,37],1,[7,7937]
[7,0,-60,-6],8,[7,7937]
[20,6,21,-2],1,[7,7937]
[6,4,16,7],8,[3,7,7937]
[2,13,10,31],1,[7,7937]
[7,0,17,8],1,[7,7937]
[9,21,-45,-11],8,[7,7937]
[6,12,10,13],8,[3,7,7937]
[9,12,-56,6],8,[7,7937]
[2,3,6,3],8,[7,7937]
[2,12,30,117],8,[7,7937]
[1,0,-6,-2],8,[7,7937]
[2,18,6,37],8,[7,7937]
[9,12,-56,6],1,[7,7937]
[1,7,-45,-33],8,[3,7,7937]
[6,6,57,64],1,[7,7937]
[11,9,15,19],1,[7,7937]
[7,0,17,8],8,[7,7937]
[11,9,15,19],8,[7,7937]
[7,21,-51,-7],8,[7,7937]
[6,12,10,13],1,[3,7,7937]
[4,7,16,29],1,[7,7937]
[1,7,-45,-33],1,[3,7,7937]
[2,13,10,31],8,[7,7937]
[6,4,16,7],1,[3,7,7937]
[2,3,6,3],1,[7,7937]
[6,6,57,64],8,[7,7937]
[7,5,13,9],8,[3,7,7937]
[1,0,-6,-2],1,[7,7937]
[7,21,-51,-7],1,[7,7937]
[9,21,-45,-11],1,[7,7937]
[4,18,-63,-7],8,[7,7937]
