[1,21,12,164],2,[29,479]
[2,21,6,41],2,[29,479]
[1,21,12,164],1,[29,479]
[1,3,-12,-8],2,[29,479]
[4,9,4,11],2,[3,29,479]
[1,3,3,5],2,[29,479]
[3,8,26,68],1,[3,29,479]
[6,8,13,17],2,[3,29,479]
[1,18,3,-17],1,[29,479]
[27,51,51,35],2,[29,479]
[1,3,6,9],1,[29,479]
[27,51,51,35],1,[29,479]
[1,3,3,5],1,[29,479]
[2,9,8,44],1,[3,29,479]
[1,3,-12,-8],1,[29,479]
[1,6,-6,-8],2,[29,479]
[1,6,-6,-8],1,[29,479]
[1,2,3,3],1,[3,29,479]
[2,9,8,44],2,[3,29,479]
[2,3,-6,-2],2,[29,479]
[7,4,8,3],1,[3,29,479]
[3,24,19,22],2,[3,29,479]
[1,3,3,3],2,[29,479]
[3,8,26,68],2,[3,29,479]
[3,24,19,22],1,[3,29,479]
