[10,21,-26,-9],1,[4133]
[8,17,44,49],8,[4133]
[1,3,-77,-37],11,[4133]
[10,8,-36,-1],88,[4133]
[10,8,-36,-1],1,[4133]
[1,2,2,2],1,[11,4133]
[10,8,-36,-1],8,[4133]
[8,17,44,49],1,[4133]
[8,17,44,49],88,[4133]
[1,19,-12,62],11,[4133]
[1,19,-12,62],88,[4133]
[1,19,-12,62],1,[4133]
[11,22,-22,-14],1,[4133]
[1,3,-77,-37],8,[4133]
[10,21,-26,-9],11,[4133]
[11,22,-22,-14],88,[4133]
[1,19,-12,62],8,[4133]
[10,21,-26,-9],8,[4133]
[1,4,-14,-2],8,[11,4133]
[1,7,48,350],11,[4133]
[2,9,10,14],1,[11,4133]
[1,7,48,350],88,[4133]
[10,8,-36,-1],11,[4133]
[2,9,10,14],8,[11,4133]
[10,21,-26,-9],88,[4133]
[11,22,-22,-14],11,[4133]
[8,17,44,49],11,[4133]
[1,7,48,350],8,[4133]
[11,22,-22,-14],8,[4133]
[1,7,48,350],1,[4133]
[1,3,-77,-37],1,[4133]
[1,2,2,2],8,[11,4133]
[1,3,-77,-37],88,[4133]
[1,4,-14,-2],1,[11,4133]
