[1,2,53,100],1,[3,17,19,43]
[2,5,4,13],1,[3,17,19,43]
[1,6,9,38],2,[17,19,43]
[33,39,51,17],1,[17,19,43]
[9,15,60,52],1,[17,19,43]
[3,1,11,1],1,[3,17,19,43]
[1,24,18,-4],2,[17,19,43]
[18,3,26,-4],2,[17,19,43]
[3,6,6,8],1,[17,19,43]
[6,3,-24,-4],1,[17,19,43]
[3,15,9,145],2,[17,19,43]
[3,1,11,1],2,[3,17,19,43]
[1,3,12,24],2,[17,19,43]
[12,12,54,17],1,[17,19,43]
[1,24,18,-4],1,[17,19,43]
[3,6,12,44],2,[17,19,43]
[6,24,24,43],2,[17,19,43]
[9,3,52,-16],1,[17,19,43]
[2,3,6,6],2,[17,19,43]
[6,3,-24,-4],2,[17,19,43]
[1,6,5,16],1,[17,19,43]
[4,6,0,17],2,[17,19,43]
[7,9,9,19],1,[17,19,43]
[33,39,51,17],2,[17,19,43]
[4,6,0,17],1,[17,19,43]
[1,4,8,44],1,[3,17,19,43]
[7,15,9,35],2,[17,19,43]
[7,12,21,12],2,[17,19,43]
[1,2,4,7],1,[17,19,43]
[6,8,9,3],2,[3,17,19,43]
[1,4,8,44],2,[3,17,19,43]
[3,15,9,145],1,[17,19,43]
[9,3,3,13],2,[17,19,43]
[2,5,4,13],2,[3,17,19,43]
[3,3,51,17],2,[17,19,43]
[9,3,3,13],1,[17,19,43]
[6,21,24,28],1,[17,19,43]
[9,3,52,-16],2,[17,19,43]
[3,6,12,44],1,[17,19,43]
[6,21,24,28],2,[17,19,43]
[7,9,9,19],2,[17,19,43]
[1,6,5,16],2,[17,19,43]
[3,3,-12,1],1,[17,19,43]
[9,21,19,19],2,[17,19,43]
[1,3,12,24],1,[17,19,43]
[4,12,9,19],2,[17,19,43]
[9,21,19,19],1,[17,19,43]
[3,6,6,8],2,[17,19,43]
[9,15,60,52],2,[17,19,43]
[7,3,15,1],2,[17,19,43]
[1,2,53,100],2,[3,17,19,43]
[12,12,54,17],2,[17,19,43]
[2,1,26,-12],2,[3,17,19,43]
[1,12,-3,-12],2,[17,19,43]
[2,4,4,11],2,[3,17,19,43]
[18,15,30,13],2,[17,19,43]
[4,2,3,-2],2,[17,19,43]
[1,9,9,14],1,[17,19,43]
[5,12,0,19],1,[17,19,43]
[4,12,9,19],1,[17,19,43]
[11,9,15,3],2,[17,19,43]
[6,6,6,11],2,[17,19,43]
[4,1,13,-3],1,[3,17,19,43]
