[2,23,-12,-16],1,[62501]
[4,9,-26,4],2,[62501]
[16,1,20,-8],2,[62501]
[1,13,21,137],1,[62501]
[1,13,21,137],2,[62501]
[1,7,-13,-18],1,[62501]
[1,11,-1,-12],1,[62501]
[4,14,-13,-9],4,[62501]
[4,6,-23,-4],2,[62501]
[4,6,-23,-4],4,[62501]
[6,1,-22,-4],2,[62501]
[2,15,-28,-25],2,[62501]
[6,1,-22,-4],4,[62501]
[4,9,-26,4],4,[62501]
[2,2,37,45],4,[62501]
[2,15,-28,-25],1,[62501]
[2,23,-12,-16],2,[62501]
[4,14,-13,-9],2,[62501]
[1,10,-14,-5],1,[62501]
[1,3,-23,-8],1,[62501]
[16,1,20,-8],1,[62501]
[3,1,-44,-16],2,[62501]
[2,10,-1,32],2,[62501]
[3,1,-44,-16],1,[62501]
[7,8,-33,2],2,[62501]
[2,10,-1,32],4,[62501]
[7,8,-33,2],1,[62501]
