[14,7,24,4],2,[3,7,5953]
[4,5,16,23],2,[3,7,5953]
[1,12,7,28],2,[3,7,5953]
[7,28,22,36],2,[3,7,5953]
[6,33,32,36],1,[3,7,5953]
[7,28,22,36],1,[3,7,5953]
[2,5,32,92],1,[3,7,5953]
[6,33,32,36],2,[3,7,5953]
[4,4,-49,-7],2,[3,7,5953]
[1,1,20,27],1,[3,7,5953]
[9,7,11,7],2,[3,7,5953]
[9,11,28,14],2,[3,7,5953]
[3,10,39,76],2,[3,7,5953]
[3,10,39,76],1,[3,7,5953]
[2,5,32,92],2,[3,7,5953]
[2,1,-25,-9],1,[3,7,5953]
[3,15,1,17],1,[3,7,5953]
[7,6,7,7],1,[3,7,5953]
[8,17,19,12],1,[3,7,5953]
[4,4,-49,-7],1,[3,7,5953]
[7,7,12,7],1,[3,7,5953]
[3,15,1,17],2,[3,7,5953]
[6,1,14,11],2,[3,7,5953]
[1,2,-49,-14],2,[3,7,5953]
[14,7,24,4],1,[3,7,5953]
