[1,3,3,3],8,[18521]
[12,30,45,44],24,[18521]
[20,6,21,-9],8,[18521]
[6,21,6,35],8,[18521]
[12,30,45,44],3,[18521]
[2,0,-63,-1],8,[18521]
[1,3,3,3],1,[18521]
[12,30,45,44],8,[18521]
[20,6,21,-9],1,[18521]
[12,30,45,44],1,[18521]
[6,21,6,35],3,[18521]
[6,21,6,35],1,[18521]
[2,0,-63,-1],3,[18521]
[2,0,-63,-1],1,[18521]
[12,15,18,28],24,[18521]
[12,15,18,28],3,[18521]
[6,21,6,35],24,[18521]
[20,6,21,-9],24,[18521]
[1,3,3,3],3,[18521]
[2,0,-63,-1],24,[18521]
[12,15,18,28],8,[18521]
[20,6,21,-9],3,[18521]
[1,3,3,3],24,[18521]
[12,15,18,28],1,[18521]
